grid_id_main,single_family_ha,multi_family_ha,facility_neighborhood_ha,facility_sales_ha,facility_office_ha,facility_education_ha,facility_industrial_ha,parks_green_ha,water_area_ha,road_area_ha,subway_influence_ha,bus_routes_cnt,cooling_kwh_per_m2,heating_kwh_per_m2,other_electricity_kwh_per_m2
3317,13.937578233351989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5803459387111306,0.4054949535352256,0.0,0,22.48196432307445,33.57284308551012,7.635290592833656
3318,5.46815915853537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576715265481378,1.1620583502826904,0.0,0,12.22548899429559,14.762917234556506,6.146322925142188
3319,2.574191949748385,0.0,0.0,0.0,0.0,0.0,0.0,3.162762782667861,0.6486444737505208,1.7795761337502496,0.0,0,5.108404271018765,6.576474557908232,2.8595815726986404
3320,2.61117499700762,0.0676736676051075,0.0,0.0,0.0,0.0,1.2658271156854044,2.712182745820429,0.6475204985407892,1.9039784433194904,0.0,0,7.135635114928391,7.780916589788549,2.90899527507818
3321,8.154871139402907,0.0,0.0,0.0,0.0,0.0,0.0,0.2105276895408804,0.5259396130404935,1.5067501590497456,0.0,0,16.168639499420166,20.903904153391288,5.841026167005472
3322,12.566906902622176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5647139595334358,1.0224697705002794,0.0,0,23.57700814087157,31.506453199034706,9.006560626454636
3323,7.877203378920005,0.0273220225438015,0.0,0.0,0.0,0.0,0.0,0.0,0.5298310689299051,0.6067500637551863,0.0,0,17.37450581167046,21.30294354662841,6.536114361799819
3324,9.066645565740291,0.0358679798328796,0.0,0.0,0.0,0.0,0.0,0.0,0.6767928334694395,1.2658412697626993,0.0,0,18.540126727395776,24.03017627163781,6.022237538230628
3325,16.1295921681116,0.0359635968359364,0.0,0.0,0.0,0.0,0.0,0.0,0.7098776082865197,0.9732697981634716,0.0,0,30.85652020090881,42.36261234345304,7.01921185483823
3326,1.4833764044933535,0.0,0.0,0.0,0.0,0.6943627605055241,0.0,0.0,0.1779821911587669,1.631736407072774,0.0,0,3.2044881840546044,3.8725432326008926,1.55558527700632
3327,0.1798281953069885,0.0,0.0,0.0,0.0,0.1214004865417059,0.0,3.2121092951325885,0.0,1.592795098162204,0.0,0,0.6706378455532059,0.6159911659019939,0.412333546996409
